process_id,regions,years,time_slice,limit_type,value
GASDRV,all,all,annual,up,0.9
GASPRC,all,all,annual,up,0.9
BIOPRO,all,all,annual,up,1.0
BIOPLL,all,all,annual,up,0.95
GASCGT,all,all,annual,up,0.9
RGASBR,all,all,annual,up,1.0
RELCHP,all,all,annual,up,1.0
RBIOBL,all,all,annual,up,1.0
WNDFRM,all,all,winter.night,up,0.486418015
WNDFRM,all,all,winter.day,up,0.543166784
WNDFRM,all,all,winter.peak,up,0.504433498
WNDFRM,all,all,winter.evening,up,0.493173821
WNDFRM,all,all,peak.night,up,0.312697296
WNDFRM,all,all,peak.day,up,0.489120338
WNDFRM,all,all,peak.peak,up,0.454890922
WNDFRM,all,all,peak.evening,up,0.331034483
WNDFRM,all,all,summer.night,up,0.17951141
WNDFRM,all,all,summer.day,up,0.349950739
WNDFRM,all,all,summer.peak,up,0.342294159
WNDFRM,all,all,summer.evening,up,0.202674173
WNDFRM,all,all,autumn.night,up,0.3513019
WNDFRM,all,all,autumn.day,up,0.460745954
WNDFRM,all,all,autumn.peak,up,0.396340605
WNDFRM,all,all,autumn.evening,up,0.364813512
