process_id,commodity_id,regions,years,coeff,type,cost
GASDRV,GASPRD,all,all,1.0,fixed,
GASPRC,GASPRD,all,all,-1.05,fixed,
GASPRC,GASNAT,all,all,1.0,fixed,
WNDFRM,ELCTRI,all,all,1.0,fixed,
GASCGT,GASNAT,all,all,-1.5,fixed,
GASCGT,ELCTRI,all,all,1.0,fixed,
RGASBR,GASNAT,all,all,-1.15,fixed,
RGASBR,heat,all,all,1.0,fixed,
RELCHP,ELCTRI,all,all,-0.33,fixed,
RELCHP,heat,all,all,1.0,fixed,
GASDRV,CO2f,all,all,5.113,fixed,
GASPRC,CO2f,all,all,2.5565,fixed,
GASCGT,CO2f,all,all,76.695,fixed,
RGASBR,CO2f,all,all,58.7995,fixed,
