process_id,regions,years,time_slice,limit_type,value
gasextraction,all,all,annual,up,0.9
gasprocessing,all,all,annual,up,0.9
gasCCGT,all,all,annual,up,0.9
gasboiler,all,all,annual,up,1.0
heatpump,all,all,annual,up,1.0
windfarm,all,all,winter.night,up,0.486418015
windfarm,all,all,winter.day,up,0.543166784
windfarm,all,all,winter.peak,up,0.504433498
windfarm,all,all,winter.evening,up,0.493173821
windfarm,all,all,peak.night,up,0.312697296
windfarm,all,all,peak.day,up,0.489120338
windfarm,all,all,peak.peak,up,0.454890922
windfarm,all,all,peak.evening,up,0.331034483
windfarm,all,all,summer.night,up,0.17951141
windfarm,all,all,summer.day,up,0.349950739
windfarm,all,all,summer.peak,up,0.342294159
windfarm,all,all,summer.evening,up,0.202674173
windfarm,all,all,autumn.night,up,0.3513019
windfarm,all,all,autumn.day,up,0.460745954
windfarm,all,all,autumn.peak,up,0.396340605
windfarm,all,all,autumn.evening,up,0.364813512
